gid,초등학교수,중학교수,고등학교수,어린이보호구역수,교차로,보행자작동신호기,횡단보도,음향신호기,안전표지,신호등,잔여시간표시기,도로면적,총인구수,단란주점,유흥주점,일반음식점,교통사고수,geometry,gu
다사62a50a,2,0,0,3,6.0,2.0,95.0,5.0,140.0,50.0,6.0,31589.032646587624,4986.0,0,0,0,9,"POLYGON ((962000 1950000, 962000 1950500, 962500 1950500, 962500 1950000, 962000 1950000))",광진구 성동구
다사62b47b,1,0,0,2,0.0,0.0,25.0,0.0,236.0,10.0,4.0,48034.90081261546,5809.0,0,0,0,4,"POLYGON ((962500 1947500, 962500 1948000, 963000 1948000, 963000 1947500, 962500 1947500))",광진구
다사62b48a,0,0,0,2,8.0,4.0,97.0,23.0,299.0,75.0,8.0,69266.9730387934,10129.0,0,0,0,22,"POLYGON ((962500 1948000, 962500 1948500, 963000 1948500, 963000 1948000, 962500 1948000))",광진구
다사62b49a,1,1,0,2,0.0,0.0,0.0,0.0,13.0,0.0,0.0,976.415926146636,132.0,0,0,0,0,"POLYGON ((962500 1949000, 962500 1949500, 963000 1949500, 963000 1949000, 962500 1949000))",광진구
다사63a49b,0,0,0,1,2.0,2.0,51.0,24.0,176.0,28.0,12.0,33512.16320338254,2254.0,0,0,0,19,"POLYGON ((963000 1949500, 963000 1950000, 963500 1950000, 963500 1949500, 963000 1949500))",광진구
다사63b48b,1,0,0,3,0.0,0.0,77.0,27.0,193.0,92.0,17.0,45053.35885831527,5698.0,0,0,0,17,"POLYGON ((963500 1948500, 963500 1949000, 964000 1949000, 964000 1948500, 963500 1948500))",광진구
다사62a51a,0,0,0,0,0.0,0.0,119.0,6.0,378.0,94.0,8.0,109985.80810125654,1162.0,0,0,0,37,"POLYGON ((962000 1951000, 962000 1951500, 962500 1951500, 962500 1951000, 962000 1951000))",광진구 동대문구 성동구
다사63b49a,0,1,1,3,0.0,0.0,40.0,0.0,105.0,26.0,0.0,48083.681497769496,11855.0,0,0,0,3,"POLYGON ((963500 1949000, 963500 1949500, 964000 1949500, 964000 1949000, 963500 1949000))",광진구
다사64b50a,0,0,0,0,0.0,0.0,10.0,0.0,101.0,18.0,0.0,15904.516384891833,376.0,0,0,0,0,"POLYGON ((964500 1950000, 964500 1950500, 965000 1950500, 965000 1950000, 964500 1950000))",광진구
다사62b51b,1,0,0,3,7.0,2.0,86.0,6.0,525.0,122.0,27.0,70015.64078057533,6697.0,0,0,0,26,"POLYGON ((962500 1951500, 962500 1952000, 963000 1952000, 963000 1951500, 962500 1951500))",광진구 동대문구
